order_id,customer_id,order_date,order_status
1,56,9/3/2025,delivered
2,106,9/4/2025,delivered
3,59,9/4/2025,cancelled
4,16,9/8/2025,delivered
5,18,9/9/2025,delivered
6,9,9/9/2025,delivered
7,22,9/9/2025,delivered
8,23,9/9/2025,delivered
9,20,9/10/2025,delivered
10,30,9/10/2025,delivered
11,32,9/10/2025,delivered
12,14,9/10/2025,delivered
13,17,9/11/2025,delivered
14,39,9/12/2025,delivered
15,40,9/12/2025,delivered
16,42,9/12/2025,delivered
17,124,9/13/2025,delivered
18,138,9/13/2025,delivered
19,161,9/14/2025,delivered
20,159,9/15/2025,delivered
21,102,9/15/2025,cancelled
22,164,9/16/2025,cancelled
23,34,9/17/2025,delivered
24,27,9/18/2025,delivered
25,141,9/18/2025,delivered
26,28,9/18/2025,delivered
27,157,9/18/2025,cancelled
28,167,9/19/2025,delivered
29,92,9/21/2025,delivered
30,130,9/21/2025,delivered
31,169,9/23/2025,delivered
32,123,9/23/2025,delivered
33,173,9/23/2025,delivered
34,127,9/24/2025,delivered
35,122,9/25/2025,delivered
36,127,9/26/2025,delivered
37,49,9/27/2025,delivered
38,4,9/27/2025,delivered
39,35,9/29/2025,delivered
40,129,9/29/2025,cancelled
41,24,9/30/2025,delivered
42,29,9/30/2025,delivered
43,93,9/30/2025,cancelled
44,51,10/1/2025,delivered
45,55,10/1/2025,delivered
46,119,10/3/2025,delivered
47,34,10/4/2025,delivered
48,25,10/5/2025,delivered
49,94,10/5/2025,delivered
50,93,10/6/2025,delivered
51,74,10/6/2025,delivered
52,51,10/7/2025,delivered
53,83,10/9/2025,delivered
54,51,10/10/2025,delivered
55,106,10/11/2025,cancelled
56,34,10/11/2025,delivered
57,174,10/12/2025,delivered
58,106,10/12/2025,delivered
59,44,10/13/2025,delivered
60,1,10/13/2025,delivered
61,51,10/14/2025,delivered
62,1,10/14/2025,delivered
63,21,10/14/2025,delivered
64,150,10/14/2025,delivered
65,114,10/15/2025,cancelled
66,125,10/16/2025,delivered
67,128,10/17/2025,cancelled
68,27,10/17/2025,delivered
69,6,10/17/2025,delivered
70,174,10/18/2025,delivered
71,126,10/18/2025,delivered
72,38,10/18/2025,cancelled
73,172,10/18/2025,delivered
74,11,10/19/2025,cancelled
75,158,10/20/2025,delivered
76,155,10/21/2025,delivered
77,173,10/22/2025,delivered
78,107,10/23/2025,delivered
79,113,10/24/2025,delivered
80,98,10/25/2025,cancelled
81,60,10/25/2025,delivered
82,173,10/25/2025,cancelled
83,62,10/26/2025,delivered
84,68,10/28/2025,delivered
85,79,10/28/2025,delivered
86,53,10/28/2025,delivered
87,103,10/30/2025,delivered
88,143,10/30/2025,delivered
89,144,10/31/2025,cancelled
90,145,10/31/2025,delivered
91,117,10/31/2025,delivered
92,146,11/2/2025,delivered
93,37,11/3/2025,delivered
94,149,11/3/2025,delivered
95,179,11/4/2025,delivered
96,152,11/5/2025,delivered
97,118,11/5/2025,delivered
98,111,11/5/2025,delivered
99,134,11/5/2025,delivered
100,113,11/6/2025,delivered
101,27,11/7/2025,cancelled
102,172,11/7/2025,delivered
103,142,11/7/2025,delivered
104,106,11/8/2025,delivered
105,126,11/9/2025,delivered
106,128,11/10/2025,delivered
107,112,11/11/2025,delivered
108,156,11/12/2025,delivered
109,160,11/13/2025,delivered
110,5,11/13/2025,delivered
111,176,11/13/2025,delivered
112,136,11/13/2025,delivered
113,140,11/13/2025,delivered
114,81,11/14/2025,delivered
115,73,11/15/2025,delivered
116,60,11/15/2025,delivered
117,122,11/15/2025,delivered
118,46,11/16/2025,cancelled
119,12,11/16/2025,delivered
120,115,11/16/2025,delivered
121,48,11/17/2025,delivered
122,71,11/20/2025,delivered
123,10,11/21/2025,delivered
124,127,11/23/2025,delivered
125,113,11/24/2025,delivered
126,129,11/25/2025,delivered
127,137,11/26/2025,delivered
128,66,11/28/2025,delivered
129,165,11/28/2025,delivered
130,121,11/28/2025,delivered
131,122,11/29/2025,delivered
132,142,11/29/2025,delivered
133,91,11/30/2025,delivered
134,142,12/1/2025,delivered
135,85,12/1/2025,delivered
136,114,12/1/2025,delivered
137,97,12/1/2025,delivered
138,43,12/1/2025,delivered
139,101,12/2/2025,delivered
140,71,12/2/2025,delivered
141,173,12/3/2025,delivered
142,55,12/3/2025,delivered
143,61,12/5/2025,delivered
144,109,12/6/2025,delivered
145,78,12/6/2025,delivered
146,160,12/7/2025,delivered
147,15,12/8/2025,delivered
148,126,12/9/2025,delivered
149,102,12/9/2025,delivered
150,45,12/11/2025,delivered
151,50,12/11/2025,delivered
152,57,12/12/2025,cancelled
153,58,12/12/2025,delivered
154,63,12/14/2025,delivered
155,64,12/14/2025,delivered
156,65,12/15/2025,delivered
157,72,12/15/2025,delivered
158,77,12/16/2025,delivered
159,130,12/16/2025,delivered
160,147,12/18/2025,delivered
161,121,12/18/2025,delivered
162,135,12/19/2025,delivered
163,44,12/21/2025,delivered
164,118,12/21/2025,delivered
165,121,12/22/2025,delivered
166,10,12/23/2025,cancelled
167,101,12/25/2025,delivered
168,119,12/25/2025,delivered
169,175,12/26/2025,delivered
170,26,12/27/2025,delivered
171,29,12/27/2025,delivered
172,154,12/28/2025,delivered
173,84,12/28/2025,delivered
174,68,12/29/2025,delivered
175,62,12/29/2025,delivered
176,119,12/30/2025,delivered
177,2,12/30/2025,delivered
178,111,12/31/2025,delivered
179,67,12/31/2025,delivered
180,11,1/1/2026,delivered
181,86,1/3/2026,delivered
182,1,1/4/2026,delivered
183,152,1/4/2026,delivered
184,26,1/4/2026,delivered
185,60,1/4/2026,delivered
186,109,1/6/2026,delivered
187,89,1/6/2026,cancelled
188,84,1/6/2026,delivered
189,68,1/7/2026,delivered
190,155,1/7/2026,delivered
191,95,1/7/2026,delivered
192,148,1/8/2026,delivered
193,115,1/8/2026,delivered
194,47,1/8/2026,delivered
195,19,1/8/2026,delivered
196,3,1/9/2026,delivered
197,43,1/9/2026,delivered
198,83,1/10/2026,delivered
199,93,1/10/2026,delivered
200,2,1/12/2026,delivered
201,82,1/13/2026,delivered
202,29,1/14/2026,delivered
203,33,1/15/2026,delivered
204,82,1/15/2026,delivered
205,8,1/15/2026,delivered
206,36,1/18/2026,delivered
207,112,1/18/2026,delivered
208,147,1/19/2026,delivered
209,170,1/19/2026,delivered
210,41,1/19/2026,delivered
211,27,1/20/2026,delivered
212,108,1/20/2026,cancelled
213,177,1/20/2026,delivered
214,167,1/21/2026,delivered
215,25,1/22/2026,delivered
216,180,1/23/2026,delivered
217,171,1/23/2026,delivered
218,13,1/23/2026,cancelled
219,69,1/24/2026,delivered
220,80,1/24/2026,delivered
221,131,1/24/2026,delivered
222,132,1/25/2026,delivered
223,120,1/25/2026,delivered
224,87,1/26/2026,delivered
225,31,1/26/2026,cancelled
226,52,1/26/2026,delivered
227,88,1/26/2026,delivered
228,96,1/27/2026,cancelled
229,99,1/29/2026,cancelled
230,90,1/30/2026,delivered
231,76,1/30/2026,delivered
232,100,1/31/2026,delivered
233,105,2/1/2026,delivered
234,70,2/1/2026,delivered
235,106,2/1/2026,delivered
236,178,2/2/2026,delivered
237,155,2/2/2026,delivered
238,62,2/3/2026,delivered
239,82,2/4/2026,cancelled
240,7,2/6/2026,delivered
241,166,2/7/2026,pending
242,54,2/9/2026,pending
243,110,2/11/2026,shipped
244,116,2/11/2026,shipped
245,163,2/13/2026,shipped
246,153,2/13/2026,delivered
247,168,2/13/2026,cancelled
248,162,2/14/2026,shipped
249,151,2/14/2026,shipped
250,75,2/14/2026,shipped
251,104,2/15/2026,shipped
252,133,2/15/2026,shipped
253,139,2/15/2026,shipped
